student_id,age,gender,study_hours_per_week,preferred_learning_style,online_courses_completed,participation_in_discussions,assignment_completion_rate,exam_score,attendance_rate,use_of_educational_tech,self_reported_stress_level,time_spent_on_social_media,sleep_hours_per_night,final_grade,cgpa,mastery_score
S00001,18,Female,48,Kinesthetic,14,Yes,30,48.3,66,Yes,High,9,8,C,2,78.3
S00002,29,Female,30,Reading/Writing,20,No,21.3,28,57,Yes,Medium,28,8,D,1,49.3
S00003,20,Female,47,Kinesthetic,11,No,18,30.1,79,Yes,Low,13,7,D,1,48.1
S00004,23,Female,13,Auditory,0,Yes,18.9,49,60,Yes,Low,24,10,B,3,67.9
S00005,19,Female,24,Auditory,19,Yes,17.7,44.1,93,Yes,Medium,26,8,C,2,61.8
S00006,28,Female,26,Kinesthetic,5,Yes,18.9,37.8,80,No,High,25,8,D,1,56.7
S00007,19,Female,49,Reading/Writing,13,Yes,27.3,30.8,66,Yes,Low,30,10,D,1,58.1
S00008,27,Male,14,Reading/Writing,5,Yes,26.4,39.2,76,Yes,Low,4,6,C,2,65.6
S00009,22,Male,45,Visual,16,No,15.6,54.6,70,No,Low,26,9,B,3,70.2
S00010,28,Other,35,Auditory,7,No,30,38.5,100,No,Medium,5,9,C,2,68.5
S00011,23,Male,40,Kinesthetic,20,No,22.2,30.8,93,No,Medium,15,10,D,1,53
S00012,23,Male,14,Visual,18,Yes,23.1,39.2,74,No,High,9,6,C,2,62.3
S00013,23,Female,24,Visual,4,No,20.1,51.1,93,Yes,Medium,28,7,B,3,71.2
S00014,27,Male,44,Reading/Writing,20,No,24,42,51,Yes,Low,27,6,C,2,66
S00015,22,Other,10,Reading/Writing,17,Yes,20.1,49.7,55,Yes,High,28,8,B,3,69.8
S00016,25,Female,28,Reading/Writing,13,Yes,25.5,63,76,Yes,Medium,5,8,A,4,88.5
S00017,19,Male,11,Visual,20,Yes,24.3,65.1,93,No,Medium,6,9,A,4,89.4
S00018,18,Male,8,Kinesthetic,9,Yes,15.6,67.9,69,No,Low,1,5,A,4,83.5
S00019,22,Male,11,Kinesthetic,11,No,15,51.8,96,Yes,Medium,13,7,B,3,66.8
